JobTitle,Company,CompanyRating,JobLocation,Remote,PostDate,ExtractionDate,JobUrl
Data Scientist,Krashlando,,"Madrid, Madrid provincia",False,hace 17 días,2021-03-29,https://es.indeed.com/rc/clk?jk=a34d2e289caffc08&fccid=5e88048acc92e2e1&vjs=3
SR DATA SCIENTIST CRO,Repsol,"4,2","Arganzuela-Madrid, Madrid provincia",False,hace 17 días,2021-03-29,https://es.indeed.com/rc/clk?jk=2d3eaab585eae551&fccid=726ddb295203c060&vjs=3
Junior Data Analyst,YEGO,,"Barcelona, Barcelona provincia",False,hace 23 días,2021-03-29,https://es.indeed.com/rc/clk?jk=cf6c85f18bf7f788&fccid=a8f5a0a39baedebf&vjs=3
Data Scientist- Analista- Programador BI,Grupo DISA,"3,8","Santa Cruz de Tenerife, Santa Cruz de Tenerife provincia",False,hace 16 días,2021-03-29,https://es.indeed.com/rc/clk?jk=3323d3a231f12831&fccid=a9d8b1fac9579a77&vjs=3
Data Scientist,"Arquimea Group, S.L",,"San Cristóbal de La Laguna, Santa Cruz de Tenerife provincia",False,hace 17 días,2021-03-29,https://es.indeed.com/rc/clk?jk=4f8bb1f5054bc68b&fccid=a41a19c3de8540f0&vjs=3
Data Scientist - Acquisition,Glovo,"3,1","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=50b1c5f255e12df1&fccid=e79aa74d1d3ace1e&vjs=3
Applied Scientist,"Amazon Spain Services, S.L.","3,6","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=cd5bfda960301bbe&fccid=fe2d21eef233e94a&vjs=3
Junior Data Analyst,YEGO,,"Barcelona, Barcelona provincia",False,hace 23 días,2021-03-29,https://es.indeed.com/rc/clk?jk=cf6c85f18bf7f788&fccid=a8f5a0a39baedebf&vjs=3
Data Scientist,Krashlando,,"Madrid, Madrid provincia",False,hace 17 días,2021-03-29,https://es.indeed.com/rc/clk?jk=a34d2e289caffc08&fccid=5e88048acc92e2e1&vjs=3
SR DATA SCIENTIST CRO,Repsol,"4,2","Arganzuela-Madrid, Madrid provincia",False,hace 17 días,2021-03-29,https://es.indeed.com/rc/clk?jk=2d3eaab585eae551&fccid=726ddb295203c060&vjs=3
Breeding Associate Scientist,Syngenta,"4,1","El Ejido, Almería provincia",False,hace 3 días,2021-03-29,https://es.indeed.com/rc/clk?jk=4d49755ebe516e73&fccid=212d266bb52619f8&vjs=3
Data Scientist en Unlimiteck Valladolid,Unlimiteck Company Builder,,"Valladolid, Valladolid provincia",False,hace 2 días,2021-03-29,https://es.indeed.com/rc/clk?jk=d9894d213f00d5bb&fccid=1317222f0eeaf4b7&vjs=3
Data Scientist,Mr Jeff,"3,2","Valencia, Valencia provincia",False,hace 18 días,2021-03-29,https://es.indeed.com/rc/clk?jk=0b11989a34b65e35&fccid=5412d8a3b2affb6b&vjs=3
Data and Automation Intern,,,"Barcelona, Barcelona provincia",False,hace 13 días,2021-03-29,https://es.indeed.com/rc/clk?jk=a78477b28ca598cd&fccid=dd616958bd9ddc12&vjs=3
Data Scientist en METIORA (Valladolid o Madrid),Unlimiteck Company Builder,,"Madrid, Madrid provincia",False,hace 13 días,2021-03-29,https://es.indeed.com/rc/clk?jk=1bb290564ccc0bff&fccid=1317222f0eeaf4b7&vjs=3
New Ventures Data Scientist,Fever,"3,6","Madrid, Madrid provincia",False,hace 25 días,2021-03-29,https://es.indeed.com/rc/clk?jk=688df80b7fc6031a&fccid=552b543e94584d6f&vjs=3
Data Scientist,"Arquimea Group, S.L",,"San Cristóbal de La Laguna, Santa Cruz de Tenerife provincia",False,hace 17 días,2021-03-29,https://es.indeed.com/rc/clk?jk=4f8bb1f5054bc68b&fccid=a41a19c3de8540f0&vjs=3
Data Science Intern,King,,"Barcelona, Barcelona provincia",False,hace 23 días,2021-03-29,https://es.indeed.com/rc/clk?jk=2e9ffb7fa9aea4cc&fccid=6d65cb9ba1f73d65&vjs=3
